"k1","k2","h0"
-20,-20,0
-20,-19,0
-20,-18,0
-20,-17,0
-20,-16,0
-20,-15,0
-20,-14,0
-20,-13,0
-20,-12,0
-20,-11,0
-20,-10,0
-20,-9,0
-20,-8,0
-20,-7,0
-20,-6,0
-20,-5,0
-20,-4,0
-20,-3,0
-20,-2,0
-20,-1,0
-20,0,0
-20,1,0
-20,2,0
-20,3,0
-20,4,0
-20,5,0
-20,6,0
-20,7,0
-20,8,0
-20,9,0
-20,10,0
-20,11,0
-20,12,0
-20,13,0
-20,14,0
-20,15,0
-20,16,0
-20,17,0
-20,18,0
-20,19,0
-20,20,0
-19,-20,0
-19,-19,0
-19,-18,0
-19,-17,0
-19,-16,0
-19,-15,0
-19,-14,0
-19,-13,0
-19,-12,0
-19,-11,0
-19,-10,0
-19,-9,0
-19,-8,0
-19,-7,0
-19,-6,0
-19,-5,0
-19,-4,0
-19,-3,0
-19,-2,0
-19,-1,0
-19,0,0
-19,1,0
-19,2,0
-19,3,0
-19,4,0
-19,5,0
-19,6,0
-19,7,0
-19,8,0
-19,9,0
-19,10,0
-19,11,0
-19,12,0
-19,13,0
-19,14,0
-19,15,0
-19,16,0
-19,17,0
-19,18,0
-19,19,0
-19,20,0
-18,-20,0
-18,-19,0
-18,-18,0
-18,-17,0
-18,-16,0
-18,-15,0
-18,-14,0
-18,-13,0
-18,-12,0
-18,-11,0
-18,-10,0
-18,-9,0
-18,-8,0
-18,-7,0
-18,-6,0
-18,-5,0
-18,-4,0
-18,-3,0
-18,-2,0
-18,-1,0
-18,0,0
-18,1,0
-18,2,0
-18,3,0
-18,4,0
-18,5,0
-18,6,0
-18,7,0
-18,8,0
-18,9,0
-18,10,0
-18,11,0
-18,12,0
-18,13,0
-18,14,0
-18,15,0
-18,16,0
-18,17,0
-18,18,0
-18,19,0
-18,20,0
-17,-20,0
-17,-19,0
-17,-18,0
-17,-17,0
-17,-16,0
-17,-15,0
-17,-14,0
-17,-13,0
-17,-12,0
-17,-11,0
-17,-10,0
-17,-9,0
-17,-8,0
-17,-7,0
-17,-6,0
-17,-5,0
-17,-4,0
-17,-3,0
-17,-2,0
-17,-1,0
-17,0,0
-17,1,0
-17,2,0
-17,3,0
-17,4,0
-17,5,0
-17,6,0
-17,7,0
-17,8,0
-17,9,0
-17,10,0
-17,11,0
-17,12,0
-17,13,0
-17,14,0
-17,15,0
-17,16,0
-17,17,0
-17,18,0
-17,19,0
-17,20,0
-16,-20,0
-16,-19,0
-16,-18,0
-16,-17,0
-16,-16,0
-16,-15,0
-16,-14,0
-16,-13,0
-16,-12,0
-16,-11,0
-16,-10,0
-16,-9,0
-16,-8,0
-16,-7,0
-16,-6,0
-16,-5,0
-16,-4,0
-16,-3,0
-16,-2,0
-16,-1,0
-16,0,0
-16,1,0
-16,2,0
-16,3,0
-16,4,0
-16,5,0
-16,6,0
-16,7,0
-16,8,0
-16,9,0
-16,10,0
-16,11,0
-16,12,0
-16,13,0
-16,14,0
-16,15,0
-16,16,0
-16,17,0
-16,18,0
-16,19,0
-16,20,0
-15,-20,0
-15,-19,0
-15,-18,0
-15,-17,0
-15,-16,0
-15,-15,0
-15,-14,0
-15,-13,0
-15,-12,0
-15,-11,0
-15,-10,0
-15,-9,0
-15,-8,0
-15,-7,0
-15,-6,0
-15,-5,0
-15,-4,0
-15,-3,0
-15,-2,0
-15,-1,0
-15,0,0
-15,1,0
-15,2,0
-15,3,0
-15,4,0
-15,5,0
-15,6,0
-15,7,0
-15,8,0
-15,9,0
-15,10,0
-15,11,0
-15,12,0
-15,13,0
-15,14,0
-15,15,0
-15,16,0
-15,17,0
-15,18,0
-15,19,0
-15,20,0
-14,-20,0
-14,-19,0
-14,-18,0
-14,-17,0
-14,-16,0
-14,-15,0
-14,-14,0
-14,-13,0
-14,-12,0
-14,-11,0
-14,-10,0
-14,-9,0
-14,-8,0
-14,-7,0
-14,-6,0
-14,-5,0
-14,-4,0
-14,-3,0
-14,-2,0
-14,-1,0
-14,0,0
-14,1,0
-14,2,0
-14,3,0
-14,4,0
-14,5,0
-14,6,0
-14,7,0
-14,8,0
-14,9,0
-14,10,0
-14,11,0
-14,12,0
-14,13,0
-14,14,0
-14,15,0
-14,16,0
-14,17,0
-14,18,0
-14,19,0
-14,20,0
-13,-20,0
-13,-19,0
-13,-18,0
-13,-17,0
-13,-16,0
-13,-15,0
-13,-14,0
-13,-13,0
-13,-12,0
-13,-11,0
-13,-10,0
-13,-9,0
-13,-8,0
-13,-7,0
-13,-6,0
-13,-5,0
-13,-4,0
-13,-3,0
-13,-2,0
-13,-1,0
-13,0,0
-13,1,0
-13,2,0
-13,3,0
-13,4,0
-13,5,0
-13,6,0
-13,7,0
-13,8,0
-13,9,0
-13,10,0
-13,11,0
-13,12,0
-13,13,0
-13,14,0
-13,15,0
-13,16,0
-13,17,0
-13,18,0
-13,19,0
-13,20,0
-12,-20,0
-12,-19,0
-12,-18,0
-12,-17,0
-12,-16,0
-12,-15,0
-12,-14,0
-12,-13,0
-12,-12,0
-12,-11,0
-12,-10,0
-12,-9,0
-12,-8,0
-12,-7,0
-12,-6,0
-12,-5,0
-12,-4,0
-12,-3,0
-12,-2,0
-12,-1,0
-12,0,0
-12,1,0
-12,2,0
-12,3,0
-12,4,0
-12,5,0
-12,6,0
-12,7,0
-12,8,0
-12,9,0
-12,10,0
-12,11,0
-12,12,0
-12,13,0
-12,14,0
-12,15,0
-12,16,0
-12,17,0
-12,18,0
-12,19,0
-12,20,0
-11,-20,0
-11,-19,0
-11,-18,0
-11,-17,0
-11,-16,0
-11,-15,0
-11,-14,0
-11,-13,0
-11,-12,0
-11,-11,0
-11,-10,0
-11,-9,0
-11,-8,0
-11,-7,0
-11,-6,0
-11,-5,0
-11,-4,0
-11,-3,0
-11,-2,0
-11,-1,0
-11,0,0
-11,1,0
-11,2,0
-11,3,0
-11,4,0
-11,5,0
-11,6,0
-11,7,0
-11,8,0
-11,9,0
-11,10,0
-11,11,0
-11,12,0
-11,13,0
-11,14,0
-11,15,0
-11,16,0
-11,17,0
-11,18,0
-11,19,0
-11,20,0
-10,-20,0
-10,-19,0
-10,-18,0
-10,-17,0
-10,-16,0
-10,-15,0
-10,-14,0
-10,-13,0
-10,-12,0
-10,-11,0
-10,-10,0
-10,-9,0
-10,-8,0
-10,-7,0
-10,-6,0
-10,-5,0
-10,-4,0
-10,-3,0
-10,-2,0
-10,-1,0
-10,0,0
-10,1,0
-10,2,0
-10,3,0
-10,4,0
-10,5,0
-10,6,0
-10,7,0
-10,8,0
-10,9,0
-10,10,0
-10,11,0
-10,12,0
-10,13,0
-10,14,0
-10,15,0
-10,16,0
-10,17,0
-10,18,0
-10,19,0
-10,20,0
-9,-20,0
-9,-19,0
-9,-18,0
-9,-17,0
-9,-16,0
-9,-15,0
-9,-14,0
-9,-13,0
-9,-12,0
-9,-11,0
-9,-10,0
-9,-9,0
-9,-8,0
-9,-7,0
-9,-6,0
-9,-5,0
-9,-4,0
-9,-3,0
-9,-2,0
-9,-1,0
-9,0,0
-9,1,0
-9,2,0
-9,3,0
-9,4,0
-9,5,0
-9,6,0
-9,7,0
-9,8,0
-9,9,0
-9,10,0
-9,11,0
-9,12,0
-9,13,0
-9,14,0
-9,15,0
-9,16,0
-9,17,0
-9,18,0
-9,19,0
-9,20,0
-8,-20,0
-8,-19,0
-8,-18,0
-8,-17,0
-8,-16,0
-8,-15,0
-8,-14,0
-8,-13,0
-8,-12,0
-8,-11,0
-8,-10,0
-8,-9,0
-8,-8,0
-8,-7,0
-8,-6,0
-8,-5,0
-8,-4,0
-8,-3,0
-8,-2,0
-8,-1,0
-8,0,0
-8,1,0
-8,2,0
-8,3,0
-8,4,0
-8,5,0
-8,6,0
-8,7,0
-8,8,0
-8,9,0
-8,10,0
-8,11,0
-8,12,0
-8,13,0
-8,14,0
-8,15,0
-8,16,0
-8,17,0
-8,18,0
-8,19,0
-8,20,0
-7,-20,0
-7,-19,0
-7,-18,0
-7,-17,0
-7,-16,0
-7,-15,0
-7,-14,0
-7,-13,0
-7,-12,0
-7,-11,0
-7,-10,0
-7,-9,0
-7,-8,0
-7,-7,0
-7,-6,0
-7,-5,0
-7,-4,0
-7,-3,0
-7,-2,0
-7,-1,0
-7,0,0
-7,1,0
-7,2,0
-7,3,0
-7,4,0
-7,5,0
-7,6,0
-7,7,0
-7,8,0
-7,9,0
-7,10,0
-7,11,0
-7,12,0
-7,13,0
-7,14,0
-7,15,0
-7,16,0
-7,17,0
-7,18,0
-7,19,0
-7,20,0
-6,-20,0
-6,-19,0
-6,-18,0
-6,-17,0
-6,-16,0
-6,-15,0
-6,-14,0
-6,-13,0
-6,-12,0
-6,-11,0
-6,-10,0
-6,-9,0
-6,-8,0
-6,-7,0
-6,-6,0
-6,-5,0
-6,-4,0
-6,-3,0
-6,-2,0
-6,-1,0
-6,0,0
-6,1,0
-6,2,0
-6,3,0
-6,4,0
-6,5,0
-6,6,0
-6,7,0
-6,8,0
-6,9,0
-6,10,0
-6,11,0
-6,12,0
-6,13,0
-6,14,0
-6,15,0
-6,16,0
-6,17,0
-6,18,0
-6,19,0
-6,20,0
-5,-20,0
-5,-19,0
-5,-18,0
-5,-17,0
-5,-16,0
-5,-15,0
-5,-14,0
-5,-13,0
-5,-12,0
-5,-11,0
-5,-10,0
-5,-9,0
-5,-8,0
-5,-7,0
-5,-6,0
-5,-5,0
-5,-4,0
-5,-3,0
-5,-2,0
-5,-1,0
-5,0,0
-5,1,0
-5,2,0
-5,3,0
-5,4,0
-5,5,0
-5,6,0
-5,7,0
-5,8,0
-5,9,0
-5,10,0
-5,11,0
-5,12,0
-5,13,0
-5,14,0
-5,15,0
-5,16,0
-5,17,0
-5,18,0
-5,19,0
-5,20,0
-4,-20,0
-4,-19,0
-4,-18,0
-4,-17,0
-4,-16,0
-4,-15,0
-4,-14,0
-4,-13,0
-4,-12,0
-4,-11,0
-4,-10,0
-4,-9,0
-4,-8,0
-4,-7,0
-4,-6,0
-4,-5,0
-4,-4,0
-4,-3,0
-4,-2,0
-4,-1,0
-4,0,0
-4,1,0
-4,2,0
-4,3,0
-4,4,0
-4,5,0
-4,6,0
-4,7,0
-4,8,0
-4,9,0
-4,10,0
-4,11,0
-4,12,0
-4,13,0
-4,14,0
-4,15,0
-4,16,0
-4,17,0
-4,18,0
-4,19,0
-4,20,0
-3,-20,0
-3,-19,0
-3,-18,0
-3,-17,0
-3,-16,0
-3,-15,0
-3,-14,0
-3,-13,0
-3,-12,0
-3,-11,0
-3,-10,0
-3,-9,0
-3,-8,0
-3,-7,0
-3,-6,0
-3,-5,0
-3,-4,0
-3,-3,0
-3,-2,0
-3,-1,0
-3,0,0
-3,1,0
-3,2,0
-3,3,0
-3,4,0
-3,5,0
-3,6,0
-3,7,0
-3,8,0
-3,9,0
-3,10,0
-3,11,0
-3,12,0
-3,13,0
-3,14,0
-3,15,0
-3,16,0
-3,17,0
-3,18,0
-3,19,0
-3,20,0
-2,-20,0
-2,-19,0
-2,-18,0
-2,-17,0
-2,-16,0
-2,-15,0
-2,-14,0
-2,-13,0
-2,-12,0
-2,-11,0
-2,-10,0
-2,-9,0
-2,-8,0
-2,-7,0
-2,-6,0
-2,-5,0
-2,-4,0
-2,-3,0
-2,-2,0
-2,-1,0
-2,0,0
-2,1,0
-2,2,0
-2,3,0
-2,4,0
-2,5,0
-2,6,0
-2,7,0
-2,8,0
-2,9,0
-2,10,0
-2,11,0
-2,12,0
-2,13,0
-2,14,0
-2,15,0
-2,16,0
-2,17,0
-2,18,0
-2,19,0
-2,20,0
-1,-20,0
-1,-19,0
-1,-18,0
-1,-17,0
-1,-16,0
-1,-15,0
-1,-14,0
-1,-13,0
-1,-12,0
-1,-11,0
-1,-10,0
-1,-9,0
-1,-8,0
-1,-7,0
-1,-6,0
-1,-5,0
-1,-4,0
-1,-3,0
-1,-2,0
-1,-1,0
-1,0,0
-1,1,0
-1,2,0
-1,3,0
-1,4,0
-1,5,0
-1,6,0
-1,7,0
-1,8,0
-1,9,0
-1,10,0
-1,11,0
-1,12,0
-1,13,0
-1,14,0
-1,15,0
-1,16,0
-1,17,0
-1,18,0
-1,19,0
-1,20,0
0,-20,0
0,-19,0
0,-18,0
0,-17,0
0,-16,0
0,-15,0
0,-14,0
0,-13,0
0,-12,0
0,-11,0
0,-10,0
0,-9,0
0,-8,0
0,-7,0
0,-6,0
0,-5,0
0,-4,0
0,-3,0
0,-2,0
0,-1,0
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
1,-20,0
1,-19,0
1,-18,0
1,-17,0
1,-16,0
1,-15,0
1,-14,0
1,-13,0
1,-12,0
1,-11,0
1,-10,0
1,-9,0
1,-8,0
1,-7,0
1,-6,0
1,-5,0
1,-4,0
1,-3,0
1,-2,0
1,-1,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
2,-20,0
2,-19,0
2,-18,0
2,-17,0
2,-16,0
2,-15,0
2,-14,0
2,-13,0
2,-12,0
2,-11,0
2,-10,0
2,-9,0
2,-8,1
2,-7,4
2,-6,10
2,-5,20
2,-4,32
2,-3,44
2,-2,54
2,-1,60
2,0,63
2,1,64
2,2,64
2,3,64
2,4,64
2,5,64
2,6,64
2,7,64
2,8,64
2,9,64
2,10,64
2,11,64
2,12,64
2,13,64
2,14,64
2,15,64
2,16,64
2,17,64
2,18,64
2,19,64
2,20,64
3,-20,0
3,-19,0
3,-18,0
3,-17,0
3,-16,0
3,-15,0
3,-14,0
3,-13,0
3,-12,2
3,-11,8
3,-10,20
3,-9,40
3,-8,66
3,-7,96
3,-6,128
3,-5,160
3,-4,190
3,-3,216
3,-2,236
3,-1,248
3,0,254
3,1,256
3,2,256
3,3,256
3,4,256
3,5,256
3,6,256
3,7,256
3,8,256
3,9,256
3,10,256
3,11,256
3,12,256
3,13,256
3,14,256
3,15,256
3,16,256
3,17,256
3,18,256
3,19,256
3,20,256
4,-20,0
4,-19,0
4,-18,0
4,-17,0
4,-16,3
4,-15,12
4,-14,30
4,-13,60
4,-12,100
4,-11,148
4,-10,202
4,-9,260
4,-8,320
4,-7,380
4,-6,438
4,-5,492
4,-4,540
4,-3,580
4,-2,610
4,-1,628
4,0,637
4,1,640
4,2,640
4,3,640
4,4,640
4,5,640
4,6,640
4,7,640
4,8,640
4,9,640
4,10,640
4,11,640
4,12,640
4,13,640
4,14,640
4,15,640
4,16,640
4,17,640
4,18,640
4,19,640
4,20,640
5,-20,4
5,-19,16
5,-18,40
5,-17,80
5,-16,134
5,-15,200
5,-14,276
5,-13,360
5,-12,450
5,-11,544
5,-10,640
5,-9,736
5,-8,830
5,-7,920
5,-6,1004
5,-5,1080
5,-4,1146
5,-3,1200
5,-2,1240
5,-1,1264
5,0,1276
5,1,1280
5,2,1280
5,3,1280
5,4,1280
5,5,1280
5,6,1280
5,7,1280
5,8,1280
5,9,1280
5,10,1280
5,11,1280
5,12,1280
5,13,1280
5,14,1280
5,15,1280
5,16,1280
5,17,1280
5,18,1280
5,19,1280
5,20,1280
6,-20,168
6,-19,252
6,-18,350
6,-17,460
6,-16,580
6,-15,708
6,-14,842
6,-13,980
6,-12,1120
6,-11,1260
6,-10,1398
6,-9,1532
6,-8,1660
6,-7,1780
6,-6,1890
6,-5,1988
6,-4,2072
6,-3,2140
6,-2,2190
6,-1,2220
6,0,2235
6,1,2240
6,2,2240
6,3,2240
6,4,2240
6,5,2240
6,6,2240
6,7,2240
6,8,2240
6,9,2240
6,10,2240
6,11,2240
6,12,2240
6,13,2240
6,14,2240
6,15,2240
6,16,2240
6,17,2240
6,18,2240
6,19,2240
6,20,2240
7,-20,710
7,-19,872
7,-18,1044
7,-17,1224
7,-16,1410
7,-15,1600
7,-14,1792
7,-13,1984
7,-12,2174
7,-11,2360
7,-10,2540
7,-9,2712
7,-8,2874
7,-7,3024
7,-6,3160
7,-5,3280
7,-4,3382
7,-3,3464
7,-2,3524
7,-1,3560
7,0,3578
7,1,3584
7,2,3584
7,3,3584
7,4,3584
7,5,3584
7,6,3584
7,7,3584
7,8,3584
7,9,3584
7,10,3584
7,11,3584
7,12,3584
7,13,3584
7,14,3584
7,15,3584
7,16,3584
7,17,3584
7,18,3584
7,19,3584
7,20,3584
8,-20,1700
8,-19,1940
8,-18,2186
8,-17,2436
8,-16,2688
8,-15,2940
8,-14,3190
8,-13,3436
8,-12,3676
8,-11,3908
8,-10,4130
8,-9,4340
8,-8,4536
8,-7,4716
8,-6,4878
8,-5,5020
8,-4,5140
8,-3,5236
8,-2,5306
8,-1,5348
8,0,5369
8,1,5376
8,2,5376
8,3,5376
8,4,5376
8,5,5376
8,6,5376
8,7,5376
8,8,5376
8,9,5376
8,10,5376
8,11,5376
8,12,5376
8,13,5376
8,14,5376
8,15,5376
8,16,5376
8,17,5376
8,18,5376
8,19,5376
8,20,5376
9,-20,3202
9,-19,3520
9,-18,3840
9,-17,4160
9,-16,4478
9,-15,4792
9,-14,5100
9,-13,5400
9,-12,5690
9,-11,5968
9,-10,6232
9,-9,6480
9,-8,6710
9,-7,6920
9,-6,7108
9,-5,7272
9,-4,7410
9,-3,7520
9,-2,7600
9,-1,7648
9,0,7672
9,1,7680
9,2,7680
9,3,7680
9,4,7680
9,5,7680
9,6,7680
9,7,7680
9,8,7680
9,9,7680
9,10,7680
9,11,7680
9,12,7680
9,13,7680
9,14,7680
9,15,7680
9,16,7680
9,17,7680
9,18,7680
9,19,7680
9,20,7680
10,-20,5280
10,-19,5676
10,-18,6070
10,-17,6460
10,-16,6844
10,-15,7220
10,-14,7586
10,-13,7940
10,-12,8280
10,-11,8604
10,-10,8910
10,-9,9196
10,-8,9460
10,-7,9700
10,-6,9914
10,-5,10100
10,-4,10256
10,-3,10380
10,-2,10470
10,-1,10524
10,0,10551
10,1,10560
10,2,10560
10,3,10560
10,4,10560
10,5,10560
10,6,10560
10,7,10560
10,8,10560
10,9,10560
10,10,10560
10,11,10560
10,12,10560
10,13,10560
10,14,10560
10,15,10560
10,16,10560
10,17,10560
10,18,10560
10,19,10560
10,20,10560
11,-20,7998
11,-19,8472
11,-18,8940
11,-17,9400
11,-16,9850
11,-15,10288
11,-14,10712
11,-13,11120
11,-12,11510
11,-11,11880
11,-10,12228
11,-9,12552
11,-8,12850
11,-7,13120
11,-6,13360
11,-5,13568
11,-4,13742
11,-3,13880
11,-2,13980
11,-1,14040
11,0,14070
11,1,14080
11,2,14080
11,3,14080
11,4,14080
11,5,14080
11,6,14080
11,7,14080
11,8,14080
11,9,14080
11,10,14080
11,11,14080
11,12,14080
11,13,14080
11,14,14080
11,15,14080
11,16,14080
11,17,14080
11,18,14080
11,19,14080
11,20,14080
12,-20,11420
12,-19,11972
12,-18,12514
12,-17,13044
12,-16,13560
12,-15,14060
12,-14,14542
12,-13,15004
12,-12,15444
12,-11,15860
12,-10,16250
12,-9,16612
12,-8,16944
12,-7,17244
12,-6,17510
12,-5,17740
12,-4,17932
12,-3,18084
12,-2,18194
12,-1,18260
12,0,18293
12,1,18304
12,2,18304
12,3,18304
12,4,18304
12,5,18304
12,6,18304
12,7,18304
12,8,18304
12,9,18304
12,10,18304
12,11,18304
12,12,18304
12,13,18304
12,14,18304
12,15,18304
12,16,18304
12,17,18304
12,18,18304
12,19,18304
12,20,18304
13,-20,15610
13,-19,16240
13,-18,16856
13,-17,17456
13,-16,18038
13,-15,18600
13,-14,19140
13,-13,19656
13,-12,20146
13,-11,20608
13,-10,21040
13,-9,21440
13,-8,21806
13,-7,22136
13,-6,22428
13,-5,22680
13,-4,22890
13,-3,23056
13,-2,23176
13,-1,23248
13,0,23284
13,1,23296
13,2,23296
13,3,23296
13,4,23296
13,5,23296
13,6,23296
13,7,23296
13,8,23296
13,9,23296
13,10,23296
13,11,23296
13,12,23296
13,13,23296
13,14,23296
13,15,23296
13,16,23296
13,17,23296
13,18,23296
13,19,23296
13,20,23296
14,-20,20632
14,-19,21340
14,-18,22030
14,-17,22700
14,-16,23348
14,-15,23972
14,-14,24570
14,-13,25140
14,-12,25680
14,-11,26188
14,-10,26662
14,-9,27100
14,-8,27500
14,-7,27860
14,-6,28178
14,-5,28452
14,-4,28680
14,-3,28860
14,-2,28990
14,-1,29068
14,0,29107
14,1,29120
14,2,29120
14,3,29120
14,4,29120
14,5,29120
14,6,29120
14,7,29120
14,8,29120
14,9,29120
14,10,29120
14,11,29120
14,12,29120
14,13,29120
14,14,29120
14,15,29120
14,16,29120
14,17,29120
14,18,29120
14,19,29120
14,20,29120
15,-20,26550
15,-19,27336
15,-18,28100
15,-17,28840
15,-16,29554
15,-15,30240
15,-14,30896
15,-13,31520
15,-12,32110
15,-11,32664
15,-10,33180
15,-9,33656
15,-8,34090
15,-7,34480
15,-6,34824
15,-5,35120
15,-4,35366
15,-3,35560
15,-2,35700
15,-1,35784
15,0,35826
15,1,35840
15,2,35840
15,3,35840
15,4,35840
15,5,35840
15,6,35840
15,7,35840
15,8,35840
15,9,35840
15,10,35840
15,11,35840
15,12,35840
15,13,35840
15,14,35840
15,15,35840
15,16,35840
15,17,35840
15,18,35840
15,19,35840
15,20,35840
16,-20,33428
16,-19,34292
16,-18,35130
16,-17,35940
16,-16,36720
16,-15,37468
16,-14,38182
16,-13,38860
16,-12,39500
16,-11,40100
16,-10,40658
16,-9,41172
16,-8,41640
16,-7,42060
16,-6,42430
16,-5,42748
16,-4,43012
16,-3,43220
16,-2,43370
16,-1,43460
16,0,43505
16,1,43520
16,2,43520
16,3,43520
16,4,43520
16,5,43520
16,6,43520
16,7,43520
16,8,43520
16,9,43520
16,10,43520
16,11,43520
16,12,43520
16,13,43520
16,14,43520
16,15,43520
16,16,43520
16,17,43520
16,18,43520
16,19,43520
16,20,43520
17,-20,41330
17,-19,42272
17,-18,43184
17,-17,44064
17,-16,44910
17,-15,45720
17,-14,46492
17,-13,47224
17,-12,47914
17,-11,48560
17,-10,49160
17,-9,49712
17,-8,50214
17,-7,50664
17,-6,51060
17,-5,51400
17,-4,51682
17,-3,51904
17,-2,52064
17,-1,52160
17,0,52208
17,1,52224
17,2,52224
17,3,52224
17,4,52224
17,5,52224
17,6,52224
17,7,52224
17,8,52224
17,9,52224
17,10,52224
17,11,52224
17,12,52224
17,13,52224
17,14,52224
17,15,52224
17,16,52224
17,17,52224
17,18,52224
17,19,52224
17,20,52224
18,-20,50320
18,-19,51340
18,-18,52326
18,-17,53276
18,-16,54188
18,-15,55060
18,-14,55890
18,-13,56676
18,-12,57416
18,-11,58108
18,-10,58750
18,-9,59340
18,-8,59876
18,-7,60356
18,-6,60778
18,-5,61140
18,-4,61440
18,-3,61676
18,-2,61846
18,-1,61948
18,0,61999
18,1,62016
18,2,62016
18,3,62016
18,4,62016
18,5,62016
18,6,62016
18,7,62016
18,8,62016
18,9,62016
18,10,62016
18,11,62016
18,12,62016
18,13,62016
18,14,62016
18,15,62016
18,16,62016
18,17,62016
18,18,62016
18,19,62016
18,20,62016
19,-20,60462
19,-19,61560
19,-18,62620
19,-17,63640
19,-16,64618
19,-15,65552
19,-14,66440
19,-13,67280
19,-12,68070
19,-11,68808
19,-10,69492
19,-9,70120
19,-8,70690
19,-7,71200
19,-6,71648
19,-5,72032
19,-4,72350
19,-3,72600
19,-2,72780
19,-1,72888
19,0,72942
19,1,72960
19,2,72960
19,3,72960
19,4,72960
19,5,72960
19,6,72960
19,7,72960
19,8,72960
19,9,72960
19,10,72960
19,11,72960
19,12,72960
19,13,72960
19,14,72960
19,15,72960
19,16,72960
19,17,72960
19,18,72960
19,19,72960
19,20,72960
20,-20,71820
20,-19,72996
20,-18,74130
20,-17,75220
20,-16,76264
20,-15,77260
20,-14,78206
20,-13,79100
20,-12,79940
20,-11,80724
20,-10,81450
20,-9,82116
20,-8,82720
20,-7,83260
20,-6,83734
20,-5,84140
20,-4,84476
20,-3,84740
20,-2,84930
20,-1,85044
20,0,85101
20,1,85120
20,2,85120
20,3,85120
20,4,85120
20,5,85120
20,6,85120
20,7,85120
20,8,85120
20,9,85120
20,10,85120
20,11,85120
20,12,85120
20,13,85120
20,14,85120
20,15,85120
20,16,85120
20,17,85120
20,18,85120
20,19,85120
20,20,85120
